,uid,title,synopsis,members,popularity,ranked,score
1010,34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,"Three girls have been chosen by the great Shinju-sama to be heroes and fight against the destructive beings known as Vertexes—enemies that threaten the harmony and safety of the world. 
 
Unsure of when they would be called to duty, Sumi Washio, Sonoko Nogi, and Gin Minowa spent their time idly. However, with the sudden appearance of a Vertex, they realize they have no idea how to fight together as magical girls when they are nearly bested. They manage to defeat their enemy by sheer determination, but in the aftermath of the battle, the three decide to fix their teamwork issues and improve their combat capabilities. 
 
But as more enemies appear—and requiring even more power to defeat their nemeses—the girls may find themselves irreversibly changed by the use of their magic. What price will they have to pay to ensure victory, and is it one worth paying if humanity will be saved? 
 
[Written by MAL Rewrite]",28005,2674,1087.0,7.73
1011,39989,Yamiyo,"Official music video for Eve's song  Yamiyo , the song was used as the second ED to the  Dororo  TV series. The song was on EVE's digital album release the following day.",4718,5899,1086.0,7.73
1012,95,Turn A Gundam,"It is the Correct Century, two millenniums after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" people of the Moon, have continued to check if Earth is fit for resettlement. 
 
A boy named Rolan Cehack and two others are sent down to Earth for a reconnaissance mission. Rolan ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll."" 
 
To Rolan's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Rolan in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war. 
 
[Written by MAL Rewrite]",30404,2548,1085.0,7.73
1013,21843,Shingeki no Bahamut: Genesis,"Thousands of years ago, the ancient dragon Bahamut wrought havoc upon the land of Mistarcia, a world where both gods and demons live amongst mankind. Working together to prevent the world's destruction, the rival deities barely managed to seal Bahamut, agreeing to split the key between them so that the dragon would remain eternally imprisoned. 
 
With the world safe from the destruction of Bahamut, it is business as usual for bounty hunters like Favaro Leone. Living a laid-back, self-serving lifestyle, the amoral Favaro goes about his work while on the run from fellow bounty hunter Kaisar Lidfard, a righteous man who swears vengeance upon Favaro. However, Favaro's carefree life is thrown into chaos when he meets Amira, a mysterious woman who holds half of the key to the world's fragile peace. 
 
 Shingeki no Bahamut: Genesis  tells the story of a group of unlikely heroes who find themselves caught in the middle of an epic clash between gods and demons, forced to carve their own path in the face of the imminent storm. 
 
[Written by MAL Rewrite]",283087,348,1084.0,7.73
1014,1011,Ranma ½ Super,"Super OVA 1: Based on a story from vol. 27 of the manga, Shampoo and Ukyo arrange to travel to a cave that is legendary for breaking up couples. They hope they will cause Ranma and Akane to break-up and Shampoo hopes to ditch Mousse the same way. 
 
Super OVA 2: ""Jaaku no Oni"" (lit. ""The Wicked Demon"") was released in 1995. Based on a story from vol. 29 of the manga, an Oni (that wears a tiger-striped diaper just like the Oni of Urusei Yatsura) escapes it`s sealed box and begins to possess people in the neighborhood. 
 
Super OVA 3: This is a story from vol. 31. Ranma disturbs a doll that takes revenge on anyone that shows it disrespect. In order to teach Ranma a lesson, the doll possesses Akane and tries on many occasions to attack him.  
 
(Source: AniDB)",13771,3803,1083.0,7.73
1015,28927,Owari no Seraph: Nagoya Kessen-hen,"Yuuichirou Hyakuya is finally reunited with his childhood friend Mikaela Hyakuya, whom he had long presumed to be dead. Upon their reunion, however, he discovers that Mikaela has been turned into a vampire. Determined to help his friend, Yuuichirou vows to get stronger so that he can protect Mikaela as well as the comrades in the Moon Demon Company. 
  
Kureto Hiiragi receives information that a large group of vampires will be gathering in Nagoya, preparing for their assault on the Imperial Demon Army's main forces in Tokyo. Led by Guren Ichinose, Yuuichirou's team is one of many selected to intercept and eliminate the vampire nobles. 
  
With the Nagoya mission quickly approaching, the members of Shinoa squad continue to work towards fully mastering their weapons, while learning how to improve their teamwork. Yuuichirou must gain the power he needs to slay the nobles and save his best friend, before he succumbs to the demon of the Cursed Gear. 
 
[Written by MAL Rewrite]",401328,212,1082.0,7.73
1016,14511,Minami-ke Tadaima,"The everyday lives of the Minami sisters continue. Chiaki, the youngest, continues to call people idiots while worshipping her eldest sister. Kana, the middle, still can't figure out that Fujioka's feelings for her are a crush, not a grudge. Haruka, the eldest, still unknowingly avoids Hosaka's advances to invite her to the volleyball team, and after a long day of excitement, the sisters enjoy sitting at the table at their home. 
 
(Source: ANN)",43944,2063,1080.0,7.73
1017,2963,Minami-ke,"The Minami residence is home to three sisters: the strict and diligent eldest sister Haruka; air-headed and lively Kana; and the youngest, Chiaki, whose sharp tongue spares no one. Living without adult supervision, the sisters share the workload of cooking and laundry, as well as the occasional romantic adventure. From combating chronic laziness to hanging out with friends, there is never a boring day in the Minami household. 
 
[Written by MAL Rewrite]",138235,802,1079.0,7.73
1018,32870,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,"Second of three compilation films of the  Kuroko no Basket  franchise. 
 
Seirin faces off with Yosen in the quarter finals of the Winter Cup. Facing Yosen’s impenetrable defense with Murasakibara at its center, Kuroko manages to shoot his first point. Meanwhile, the ace battle between Kagami and Himuro also heats up. An intense battle is held until the very end. Next, Seirin faces off with Kaijo in the semi finals. Cautious of Kaijo's ace, Kise, and his Perfect Copy ability, Seirin works fast and hard to take the lead. Kise hurts his leg and is benched, so Seirin thinks they now have their chance, but then Kaijo shows them exactly what they can do even without Kise. 
 
(Source: Crunchyroll)",16182,3562,1078.0,7.73
1019,2405,Hello! Lady Lynn,"This is the second series of Lady Lady. Every year at Lynn's school, an honorable “Lady Quest” is given to the most sophisticated lady. Lynn strives to receive this honor. 
 
(Source: Toei Animation)",2750,7194,1076.0,7.73
1020,18055,Hakkenden: Touhou Hakken Ibun 2nd Season,Second season of Hakkenden: Touhou Hakken Ibun.,47725,1962,1075.0,7.73
1021,74,Gakuen Alice,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend! 
 
Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru. 
 
 Gakuen Alice  is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga. 
 
[Written by MAL Rewrite]",71136,1477,1074.0,7.73
1022,34855,Gabriel DropOut Specials,Specials included with the Blu-ray/DVD release of  Gabriel DropOut .,42040,2126,1072.0,7.73
1023,60,Chrno Crusade,"The 1920s was a decade of great change and upheaval, with monstrous demons appearing across America. To combat this menace, the holy organization known as the Order of Magdalene was established. The organization's New York branch is home to the young and reckless Sister Rosette Christopher, as well as her partner Chrno. Tasked with the extermination of demonic threats, the renowned team is excellent at their job, despite causing extensive collateral damage on their missions. 
 
However, both Rosette and Chrno are driven by their dark pasts. Through exterminating demons, Rosette hopes to find her lost brother Joshua who was taken by the sinner and demon, Aion, with whom Chrno also shares a bloody history. The two of them must fight off the increasingly dangerous demonic menace and discover its source, while continuing to search for the truth behind Joshua's disappearance. 
 
[Written by MAL Rewrite]",182796,593,1069.0,7.73
1024,33071,Bungou Stray Dogs: Hitori Ayumu,"Armed Detective Agency members discuss the most suitable candidate for the second-in-command. Doppo Kunikida is carrying out official errands as planned in his diary as usual. Unexpectedly, a bomb-related incident occurs, challenging the ideals he has always upheld. When weighing one life over hundreds, how will he proceed? 
 
[Written by MAL Rewrite]",60451,1665,1068.0,7.73
1025,37869,BanG Dream! 2nd Season,"Kasumi Toyama and the members of Poppin'Party—their high school band—are now second-year students, but with the new school year comes their latest set of challenges: student council duties, cram school, and part-time jobs, among other things. Furthermore, they are now separated into different classes, and as a result, their free time together is shortened. Looking back, their joyful times together seem like nothing more than an unachievable fantasy when their members are too occupied to even gather in Arisa Ichigaya's basement for practice sessions. As the band ponders over the situation, an unfamiliar girl suddenly emerges, unknowingly pulling them into the spotlight once more. 
 
In this rising era of girl bands, Afterglow, Pastel*Palettes, Roselia, and Hello, Happy World! begin to make their appearance as well. Each band, comprised of musicians with their unique personalities, illuminates the stage with its performances. As Poppin'Party returns to the music scene and encounters new friends, the sparkling, heart-pounding music starts to play once again! 
 
[Written by MAL Rewrite]",18029,3382,1065.0,7.73
1026,477,Aria The Animation,"Drift peacefully into Neo Venezia, a city on the planet Aqua (formerly known as Mars). By the 24th century, humans have found a way to colonize the previously uninhabitable planet. As futuristic as that sounds, Neo Venezia is still teeming with rustic beauty; gondolas on wide canals and waterways are the main mode of transportation. The city itself is a faithful replication of Manhome's (the planet formerly known as Earth) Venice. 
 
To make sure that residents and tourists alike get the most from Neo Venezia's many wonders, companies offering guided tours via gondola were formed, one of which is named Aria Company. 
 
This is the workplace of Akari Mizunashi, a free spirited teenager from Manhome who is now a novice Undine (the title given to tour guides). Join Akari as she becomes intimately acquainted with other Undine, tourists, Neo Venezia's residents, and even the city itself, learning many valuable life lessons along the way, such as the wonderful truth that there are such things as manmade miracles. 
 
[Written by MAL Rewrite]",111905,1005,1064.0,7.73
1027,34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,"Having fulfilled their destiny during the events of   Yuuki Yuuna wa Yuusha de Aru , Sanshu Middle School's Hero Club—consisting of Yuuna Yuuki, Karin Miyoshi, and siblings Fuu and Itsuki Inubouzaki—is back in full swing, helping out those in need wherever they can. They have also gained a new member, a hero from the past named Sonoko Nogi. But eventually they notice that someone who should be among them, Mimori Tougou, is missing; any trace of her existence is completely gone, save for the girls' memories. 
 
With no leads on Tougou's whereabouts, the girls regain the ability to transform and begin the desperate search for their lost friend. But what they find is more shocking than any of them could ever have imagined, and the consequences of their actions begin to change life as they know it. 
 
[Written by MAL Rewrite]",25629,2809,1063.0,7.74
1029,36910,Wu Geng Ji 2nd Season,"At the end of the Shang dynasty of ancient China, Emperor Shou defied the will of the Gods. He openly declared to lead the people and to resist against the gods. 
 
Zi Shou bravely fought against Tian Kui, but only received laughter from the gods watching from above. He was then killed by Tian (another greater god) and broke the Immortal Phoenix armor. 
 
Wu Geng then woke up in the body of Ah Gou and realized he has now a wife named Bai Cai...",1319,8960,1061.0,7.74
1030,31711,To LOVE-Ru Darkness 2nd Specials,Extra episodes of  To LOVE-Ru Darkness 2nd  bundled with the seventh Blu-ray and DVD volume.,56934,1738,1059.0,7.74
1031,26,Texhnolyze,"Texhnolyze  takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. 
 
Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.",154140,720,1058.0,7.74
1032,5751,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,"A new Prince of Tennis OVA, called Prince of Tennis OVA Another Story ~Kako to Mirai no Message~, was announced at Shueisha's Jump Festa 09 this past weekend. The official website of the show has confirmed it yesterday. According to the latest issue of Weekly Shonen Jump magazine, Another Story will take place in Osaka after the finals. The preview of the new OVA will be available on the third volume of Prince of Tennis: The National Tournament Finals.",12166,3990,1057.0,7.74
1033,9930,Snow Halation,"Snow Halation  is the second single for μ's (Muse), the girls of Otonokizaka Academy from the mobile game and anime franchise  Love Live! School Idol Project . It was released to celebrate Christmas in 2010, and serves as the ending song for episode 9 of   Love Live! School Idol Project Season 2 . 
 
The choreography of the music video features Honoka Kousaka, Umi Sonoda, and Nozomi Toujou, decided by popular vote.",14790,3688,1056.0,7.74
1034,18119,Servant x Service,"Frustrating, insufficient, and irritating is how most citizens would describe civil servants. However, three new employees are about to discover what really happens behind the scenes. Lucy Yamagami, bent on revenge against the civil servant who allowed her comically long name to be put on her birth certificate; Yutaka Hasebe, an easygoing guy always on the lookout for a place to slack off; and Saya Miyoshi, a nervous first-time worker, are about to experience the underwhelming satisfaction of being government employees.  
 
They are supposed to be trained by Taishi Ichimiya, but he has no idea how to do so, even though he has worked there for eight years. With an incompetent senior colleague and unfavorable confrontations with clients, the trio starts to lose faith in their chosen occupation but encourage each other to do their best.  
 
[Written by MAL Rewrite]",144291,773,1055.0,7.74
1035,290,Seikai no Monshou,"In the distant future, humanity is under attack by the Abh Empire, a race of advanced humanoid beings possessing vastly superior technology. As countless worlds fall to the Abh, mankind establishes the Four Nations Alliance—a resistance faction made up of the United Mankind, the Republic of Greater Alcont, the Federation of Hania, and the People's Sovereign of Union Planets. 
 
 Seikai no Monshou  tells the story of Jinto Linn. When he was young, his father—the president of Martine—sold their world in exchange for a high position in the empire. Now a young count, Jinto must learn the ways of Abh nobility and live among those who subjugated his people. Helping him is Lafiel Abriel, an austere Abh princess whom Jinto quickly befriends. While traveling to Jinto's new school in the Abh homeland, their ship is caught in a violent space battle between the fleets of the Alliance and the Abh. Jinto and Abriel are thrust into the conflict, unaware that this skirmish marks the beginning of a full-scale war between the Abh Empire and mankind. 
 
[Written by MAL Rewrite]",38196,2249,1054.0,7.74
1036,35777,Rilakkuma to Kaoru-san,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear. 
 
(Source: Netflix)",5245,5700,1052.0,7.74
1038,2594,Piano no Mori,"Piano no Mori  tells the story of Shuuhei Amamiya, a transfer student, and Kai Ichinose, a problem child from the rough areas of town. Upon transferring to Moriwaki Elementary and telling the other kids about his talent for piano, Shuuhei quickly finds himself as the victim of bully Daigaku Kanehira.  
 
Daigaku dares Shuuhei to find and play a cursed piano in the forest, which leads him to meet Kai, who claims to be the owner of the piano and the only one who can play it. Intrigued, Shuuhei follows Kai to the hidden piano in the forest and listens to him play a beautiful medley. 
 
Earning the respect of not only Shuuhei but school music teacher Sousuke Ajino as well, Kai now finds himself formally learning how to play the piano. 
 
[Written by MAL Rewrite]",47356,1973,1049.0,7.74
1039,21473,Persona 3 the Movie 2: Midsummer Knight's Dream,"As the season changes from spring to summer, Makoto Yuuki remains alongside the Specialized Extracurricular Execution Squad (SEES). The team continues to defeat Shadows large and small, but they now clash with a new enemy: Strega, a group of rogue Persona users who wish to keep the Dark Hour to their advantage—it seems that Strega may hold a clue to the Dark Hour's true nature. 
 
While SEES enjoys summer vacation in Yakushima, they are joined by Aegis, an amnesiac android designed to destroy Shadows. While she proves herself to be a powerful ally, she is inexplicably drawn to Makoto and constantly remains at his side. As they delve deeper into the mysteries of the Dark Hour, the nature of the mysterious connection that binds these two together is slowly unveiled. 
 
[Written by MAL Rewrite]",51731,1862,1048.0,7.74
1040,12021,Poyopoyo Kansatsu Nikki,"Moe Sato is a young lady who finds a cat and starts taking care of him. Named Poyo due to his round shape, he quickly becomes a dear member of the Sato family.  
 
(Source: ANN) ",17307,3437,1050.0,7.74
1041,16239,One Piece: Episode of Luffy - Hand Island no Bouken,"The story of the Hand Island no Bouken special is set a little before the events of One Piece Film Z and depicts a major ""Hand Island"" incident during the New World storyline. The story is set at ""Cannon Town"" where a parent and a child work as craftspeople. The incident revolves around them and a commodore of a marine base. The special will also have a flashback scene to the story in the first chapter of the manga, but with new animation.  
 
(Source: ANN) ",33542,2414,1047.0,7.74
1042,30347,Nanatsu no Taizai OVA,"OVA bundled with the 15th and 16th volume of the manga. 
 
15th volume DVD will feature the sin of greed as the central character. 
 
16th volume DVD will feature side stories of the main characters in omnibus format. 
 
(Source: MAL News)",101485,1089,1046.0,7.74
1043,2313,Muumindani no Suisei,"Unusual things have been happening in Moominvalley. Moomin, Sniff and Mee leave for the Observatory on the Lonely Mountains to confirm the Muskrat's words: a comet is about to hit Moominvalley and destroy everything. On the way they meet Snufkin, the Hemulen and the Snorks and experience many adventures.  
 
(Source: ANN)",6593,5141,1045.0,7.74
1044,709,Mujin Wakusei Survive,"The story is set in the 22nd century where space travel, planet colonization and anti-gravity basketball are practically everyday things. Planet Earth has become uninhabitable, and therefore people live in colonies on the surrounding planets. On a school field trip, a mistake causes the protagonist, a young transfer student named Luna, her pet robot, and six of her classmates to be thrown through a gravity storm and crash land on a seemingly uninhabited planet. There, with Luna as their leader, the robot cat Chako, the lone wolf Kaoru, the spoiled rich boy Howard, the shy Sharla, the obedient Bell, the prideful musician Menori and the young genius Shingo must fight for their survival. But is the planet really uninhabited, or is there someone or something out there, waiting in the shadows? 
 
(Source: Wikipedia)",19525,3232,1044.0,7.74
1045,10620,Mirai Nikki,"Lonely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and space, and Murmur, the god's servant. Revealing himself to be an actual entity, Deus grants Yukiteru a ""Random Diary,"" which shows highly descriptive entries based on the future and forces him into a bloody battle royale with 11 other holders of similarly powerful future diaries. 
 
With the last person standing designated as the new god of time and space, Yukiteru must find and kill the other 11 in order to survive. He reluctantly teams up with his obsessive stalker Yuno Gasai (who also possesses such a diary), and she takes it upon herself to ensure his safety. But there's more to the girl than meets the eye, as she might have other plans for her unrequited love... 
 
[Written by MAL Rewrite]",1205275,13,1043.0,7.74
1046,32268,Koyomimonogatari,"Whether it is investigating stone shrines, tracking rumors, or simply playing hide and seek, Koyomi Araragi is always there to fulfill the requests of his friends from both the human and supernatural worlds.  Koyomimonogatari  tells a series of short stories involving Koyomi as he helps each of the girls in his cohort solve a mystery or kill some time, alongside previously unexplored problems in this essential prelude to his story's last chapter. 
 
[Written by MAL Rewrite]",135107,839,1041.0,7.74
1047,4811,Ichigo Mashimaro Encore,Ichigo Mashimaro encore is a two-episode OVA continues onwards from the previous set of OVAs of Ichigo Mashimaro.,16247,3543,1040.0,7.74
1048,22125,Kuroko no Basket: Mou Ikkai Yarimasen ka,"Bundled with the 6 Blu-ray/DVD. It will adapt the 124th chapter of the manga, which depicts when Kuroko and Aomine first met.",31687,2494,1042.0,7.74
1049,17273,Hetalia: The Beautiful World Specials,"Special episodes released with the Hetalia: The Beautiful World BD/DVDs. 
 
Include 4 episodes: 
 
Extra 1: Buon San Valentino - First Part 
Extra 2: Buon San Valentino - Last Part 
Extra 3: The Centennial Gift 
Extra 4: Liechtenstein and the Hedgehog Country",13871,3796,1039.0,7.74
1050,18619,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!,"After a brilliant victory over Saunders University High School, girls from Ooarai now have to face Italian-themed Anzio Girls High School in the second round of the 63rd National High School Sensha-Dou Tournament. The high-spirited girls from Anzio, led by the charismatic Chiyomi Anzai, advance toward the battle equipped with baffling tactics and a secret weapon. 
 
Ooarai will soon find out that what seemed to be a mere formality might take an unexpected and possibly disastrous turn. Whether they will win the match, or lose and doom their school to a closure, is still on a knife-edge. 
 
[Written by MAL Rewrite] 
",29935,2578,1037.0,7.74
1051,2471,Doraemon (1979),"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. 
 
To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? 
 
[Written by MAL Rewrite]",26513,2750,1036.0,7.74
1052,966,Crayon Shin-chan,"Just because an anime features a young protagonist does not necessarily mean that it is an appropriate series to show your children. Young Shinnosuke, or Shin-chan for short, is a very creative young boy that lives with his eccentric parents, Misae and Hiroshi, as well as his Prima Donna younger sister, Himawari, and has loads of unique friends to boot. 
 
Everyday life for little Shin-chan is full of funny (and shocking) moments, most of which stem from his unnatural and sometimes profane use of language, as well as his constant acts of inappropriate behavior. Shin-chan's famous ""elephant"" gag is one of the most defining moments in  Crayon Shin-chan , simply because it is the epitome of crude comedy, one of the core themes of the series. 
 
 Crayon Shin-chan  is a hilarious show about the day in the life of a young, curious boy, that captures the awkwardness of growing up as well as the beauty of being true to one's self, no matter what others say.",44171,2057,1034.0,7.74
1053,951,Chibi Maruko-chan,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.  
 
(Source: ANN)",7684,4828,1033.0,7.74
1054,530,Bishoujo Senshi Sailor Moon,"Usagi Tsukino is an average student and crybaby klutz who constantly scores low on her tests. Unexpectedly, her humdrum life is turned upside down when she saves a cat with a crescent moon on its head from danger. The cat, named Luna, later reveals that their meeting was not an accident: Usagi is destined to become Sailor Moon, a planetary guardian with the power to protect the Earth. Given a special brooch that allows her to transform, she must use her new powers to save the city from evil energy-stealing monsters sent by the malevolent Queen Beryl of the Dark Kingdom. 
 
But getting accustomed to her powers and fighting villains are not the only things she has to worry about. She must find the lost princess of the Moon Kingdom, the other Sailor Guardians, and the Legendary Silver Crystal in order to save the planet from destruction. 
 
[Written by MAL Rewrite] 
",219238,485,1032.0,7.74
1055,11737,Ao no Exorcist Movie,"The atmosphere in True Cross Academy is lively and boisterous in the days leading up to the grand festival held once every 11 years. During this time, Okumura Rin is entrusted with the responsibility of suppressing the berserk Phantom Train. In the midst of his mission, he meets a devil whose appearance is that of a young boy. 
 
(Source: Official Site)",176312,612,1031.0,7.74
1056,9919,Ao no Exorcist,"Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king. 
 
 Ao no Exorcist  follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio. 
 
[Written by MAL Rewrite]",1085158,17,1030.0,7.74
1057,14941,AKB0048: Next Stage,"In the year since the 77th generation understudies joined AKB0048, the Deep Galactic Trade Organization [DGTO] and DES have stepped up their attacks on entertainment. In response, AKB0048 brings back the general elections and the center nova position. The understudies are now thrusted into a new competition directly against the successors. But as AKB0048 brings back policies not seen since Acchan's disappearance, a new more powerful enemy is quietly moving behind the scenes. 
 
(Source: ANN)",29405,2596,1029.0,7.74
1058,283,Akage no Anne,"Life isn’t easy for Anne Shirley, an 11-year-old orphan with a vast imagination and a short temper. In a twist of fate, she gets taken into the Cuthbert house in Avonlea. The elderly occupants Marilla and Matthew Cuthbert were looking for a young boy to help in the fields, but they're in for quite a shock when they realize Anne is a girl. 
 
Adapted from the acclaimed classic by L. M. Montgomery,  Akage no Anne  portrays Anne's upbringing from 11 to 17 years of age and her encounters and separations with various people. Only time will tell what major decision Anne has to make that will change her life forever. 
 
[Written by MAL Rewrite]",17605,3399,1028.0,7.74
1059,36125,Uchiage Hanabi,"Official music video for  Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka? 's ending theme  Uchiage Hanabi  by DAOKO x Kenshi Yonezu.",11939,4041,1027.0,7.75
1060,12883,Tsuritama,"Yuki Sanada is a socially awkward young man who lives with his grandmother. Due to her job, they must move around a lot. This means Yuki has difficulty forming lasting relationships with his peers, or relationships at all, for that matter. His fear of social interaction is so great that when asked to make a greeting or parting speech in his classes, Yuki often freezes. As if drowning, he blacks out from the present, only able to focus on his certain ridicule. However, Yuki's life changes forever when he moves to Enoshima and meets an odd boy named Haru—who claims to be an alien. 
 
Haru wields a questionable water gun and fish bowl, and has a tendency to speak with the betta fish inside it. He immediately latches onto Yuki as a friend, completely disregarding any complaints Yuki might have about this. Haru is like a force of nature, unheeding of other people's resistance to his antics. Together, Haru and Yuki also snowball a fellow classmate and fisherman named Natsuki Usami into Haru’s schemes. What out-of-this-world adventures lie ahead for this unique bunch? Find out in  Tsuritama ! ",125596,896,1026.0,7.75
1061,182,Tenkuu no Escaflowne,"Hitomi Kanzaki is just an ordinary 15-year-old schoolgirl with an interest in tarot cards and fortune telling, but one night, a boy named Van Fanel suddenly appears from the sky along with a vicious dragon. Thanks to a premonition from Hitomi, Van successfully kills the dragon, but a pillar of light appears and envelopes them both. As a result, Hitomi finds herself transported to the world of Gaea, a mysterious land where the Earth hangs in the sky. 
 
In this new land, Hitomi soon discovers that Van is a prince of the Kingdom of Fanelia, which soon falls under attack by the evil empire of Zaibach. In an attempt to fight them off, Van boards his family's ancient guymelef Escaflowne—a mechanized battle suit—but fails to defeat them, and Fanelia ends up destroyed. Now on the run, Hitomi and Van encounter a handsome Asturian knight named Allen Schezar, whom Hitomi is shocked to find looks exactly like her crush from Earth. With some new allies on their side, Van and Hitomi fight back against the forces of Zaibach as the empire strives to revive an ancient power. 
 
[Written by MAL Rewrite]",114693,984,1025.0,7.75
1062,37123,Sora yori mo Tooi Basho: Yokoku,Web-exclusive next episode previews for  Sora yori mo Tooi Basho  released on Kadokawa anime official YouTube channel.,1343,8976,1024.0,7.75
1063,19775,Sidonia no Kishi,"After destroying Earth many years ago, the alien race Gauna has been pursuing the remnants of humanity—which, having narrowly escaped, fled across the galaxy in a number of giant seed ships. In the year 3394, Nagate Tanikaze surfaces from his lifelong seclusion deep beneath the seed ship Sidonia in search of food on the upper levels, only to find himself dragged into events unfolding without his knowledge. 
 
When the Gauna begin their assault on Sidonia, it's up to Tanikaze—with the help of his fellow soldiers and friends Shizuka Hoshijiro, Izana Shinatose, and Yuhata Midorikawa—to defend humanity's last hope for survival, and defeat their alien foes.  Sidonia no Kishi  follows Tanikaze as he discovers the world that has been above him his entire life, and becomes the hero Sidonia needs. 
 
[Written by MAL Rewrite]",176874,613,1023.0,7.75
1064,23777,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Recap of episodes 14-25. ,56334,1747,1022.0,7.75
1065,398,Seikai no Senki III,"Jinto and Lafiel were riding on a light-armed transport ship ""Bokbrusue"" and navigating at the planar space of the Hyde System. This was for Jinto to govern the Hyde System, which returned to Empirial rule after the Union retreated, officially as an Earl. However, the government of Martin, Jinto`s motherland, resisted obstinately against the Empirial rule. On the other side, ""Daiichi Jyuurin Sentai"" (the First Devastation Fleet), formed with the new ship type ""Attack Vessel"", travelled to the Hyde System for drilling practices, but...  
 
(Source: ANN)",14366,3739,1021.0,7.75
