show_id,listed_in,Animation,Family,Comedy,Musical,Docuseries,Historical,Music,Biographical,Documentary,Action-Adventure,Superhero,Reality,Survival,Animals & Nature,Kids,Coming of Age,Drama,Fantasy,Lifestyle,Movies,Fantasy,Concert Film,Crime,Sports,Anthology,Medical,Variety,Spy/Espionage,Buddy,Parody,Game Show / Competition,Romance,Anime,Romantic Comedy,Thriller,Police/Cop,Talk Show,Western,Dance,Series,Mystery,Soap Opera / Melodrama,Disaster,Travel
d-s220,"Docuseries, Reality, Survival",,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s222,"Animals & Nature, Animation, Kids",1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s223,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s224,"Action-Adventure, Family, Game Show / Competition",,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
d-s225,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s226,"Action-Adventure, Family, Science Fiction",,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s227,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s228,"Action-Adventure, Family, Science Fiction",,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s230,"Biographical, Drama",,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s231,"Animation, Comedy, Parody",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
d-s232,Science Fiction,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s233,"Anthology, Science Fiction",,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
d-s236,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s237,"Fantasy, Musical",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s238,"Biographical, Documentary, Music",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s239,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s240,"Musical, Romance, Western",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
d-s241,"Action-Adventure, Comedy, Crime",,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
d-s242,"Biographical, Documentary",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s244,"Animals & Nature, Docuseries",,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s245,"Comedy, Drama, Sports",,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s246,"Animals & Nature, Anthology",,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s247,"Docuseries, Reality, Survival",,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s248,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s249,"Action-Adventure, Coming of Age, Family",,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s250,"Action-Adventure, Comedy, Kids",,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s251,"Action-Adventure, Animals & Nature, Drama",,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s252,"Biographical, Documentary",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s255,"Comedy, Coming of Age, Crime",,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
d-s256,"Biographical, Coming of Age, Drama",,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s257,"Action-Adventure, Biographical, Drama",,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s258,"Action-Adventure, Fantasy, Science Fiction",,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s259,"Action-Adventure, Fantasy, Science Fiction",,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s260,"Animation, Kids, Musical",1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s261,"Action-Adventure, Fantasy, Survival",,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s262,Reality,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s263,"Action-Adventure, Comedy, Family",,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s264,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s265,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s266,Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
d-s267,Animation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s268,"Action-Adventure, Animation, Fantasy",1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s269,"Animals & Nature, Comedy",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s270,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s271,"Action-Adventure, Coming of Age, Family",,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s272,"Comedy, Reality",,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s273,"Action-Adventure, Animation, Family",1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s275,"Comedy, Drama, Sports",,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s276,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s277,"Biographical, Documentary, Music",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s278,"Animals & Nature, Docuseries",,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s279,"Action-Adventure, Buddy, Science Fiction",,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
d-s280,"Animation, Kids, Medical",1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
d-s281,"Anthology, Docuseries",,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s282,"Coming of Age, Fantasy",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s283,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s284,"Comedy, Family, Kids",,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s285,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s286,"Buddy, Comedy, Docuseries",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
d-s287,"Game Show / Competition, Sports, Variety",,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,
d-s288,"Comedy, Docuseries, Family",,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s289,"Comedy, Fantasy",,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s290,"Animation, Comedy, Kids",1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s291,"Animation, Family, Fantasy",1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s292,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s293,"Action-Adventure, Comedy, Coming of Age",,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s294,"Family, Fantasy, Mystery",,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
d-s295,Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s296,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s297,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s298,"Comedy, Coming of Age, Drama",,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s299,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s300,"Comedy, Family, Variety",,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s301,"Action-Adventure, Animation, Fantasy",1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s302,"Anthology, Documentary",,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s303,"Comedy, Family, Fantasy",,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s304,Comedy,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s305,"Biographical, Documentary, Music",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s306,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s307,"Coming of Age, Fantasy",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s308,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s309,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s310,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s311,"Animation, Anthology, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s312,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s313,"Action-Adventure, Animation, Fantasy",1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s314,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s316,"Drama, Fantasy, Mystery",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
d-s317,"Family, Game Show / Competition, Reality",,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
d-s318,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s319,"Action-Adventure, Docuseries, Fantasy",,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s320,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s321,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s322,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s323,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s325,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s326,"Animation, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s328,"Action-Adventure, Docuseries, Family",,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s329,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s330,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s331,"Animation, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s332,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s333,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s334,"Animation, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s335,"Action-Adventure, Fantasy, Musical",,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s336,"Action-Adventure, Animation, Fantasy",1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s337,"Docuseries, Family",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s338,"Animals & Nature, Docuseries, Reality",,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s339,"Fantasy, Variety",,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s340,Movies,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
d-s341,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s342,"Drama, Music, Romance",,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
d-s343,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s344,"Biographical, Drama, Sports",,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s345,"Animation, Family, Fantasy",1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s346,"Comedy, Family, Fantasy",,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s347,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s348,"Action-Adventure, Coming of Age, Drama",,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s349,"Action-Adventure, Comedy, Family",,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s350,"Family, Music, Variety",,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s352,"Comedy, Coming of Age, Family",,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s353,"Animals & Nature, Coming of Age, Drama",,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s354,"Animation, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s355,"Action-Adventure, Fantasy, Soap Opera / Melodrama",,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
d-s356,"Animals & Nature, Kids, Music",,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s357,"Documentary, Music",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s358,"Coming of Age, Drama, Music",,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s359,"Anthology, Docuseries",,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s360,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s361,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s362,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s363,"Action-Adventure, Animation, Anthology",1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s364,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s365,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s366,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s367,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s368,"Docuseries, Family",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s369,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s370,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s371,"Animation, Fantasy",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s372,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s374,"Action-Adventure, Comedy, Crime",,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
d-s375,"Animation, Family, Fantasy",1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s376,"Animation, Family, Fantasy",1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s377,"Comedy, Variety",,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s378,"Action-Adventure, Family, Science Fiction",,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s379,"Action-Adventure, Fantasy",,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s380,"Animals & Nature, Docuseries, Reality",,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s381,"Animals & Nature, Docuseries",,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s382,"Docuseries, Reality",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s383,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s384,"Animation, Comedy, Coming of Age",1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s385,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s386,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s387,"Action-Adventure, Comedy, Family",,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s388,"Biographical, Drama, Music",,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s389,"Animals & Nature, Documentary, Survival",,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s390,"Action-Adventure, Animation, Science Fiction",1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s391,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s392,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s393,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s394,"Action-Adventure, Family, Fantasy",,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s395,"Drama, Historical",,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s396,"Animals & Nature, Documentary, Family",,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s397,"Action-Adventure, Family, Science Fiction",,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s398,"Drama, Music",,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s399,"Animals & Nature, Documentary, Family",,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s400,"Biographical, Drama, Family",,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s401,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s402,"Action-Adventure, Coming of Age, Family",,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s403,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s404,"Action-Adventure, Animals & Nature, Docuseries",,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s405,"Docuseries, Historical",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s407,"Comedy, Family, Kids",,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s408,"Docuseries, Reality",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s409,"Drama, Romance",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
d-s410,"Docuseries, Historical, Reality",,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s411,"Documentary, Sports",,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s412,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s414,"Comedy, Coming of Age, Drama",,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s415,"Coming of Age, Drama, Music",,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s417,"Comedy, Drama, Family",,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s418,"Comedy, Coming of Age, Drama",,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s419,"Comedy, Parody, Science Fiction",,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
d-s420,"Animation, Family, Fantasy",1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s421,"Action-Adventure, Fantasy",,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s422,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s423,"Documentary, Historical",,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s424,"Family, Fantasy, Musical",,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s425,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s426,"Drama, Family, Fantasy",,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s427,"Animals & Nature, Kids, Variety",,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s428,"Animation, Kids, Music",1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s429,"Coming of Age, Fantasy, Musical",,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s430,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s431,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s432,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s433,"Action-Adventure, Comedy, Science Fiction",,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s434,"Animals & Nature, Docuseries, Kids",,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s435,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s436,"Animals & Nature, Docuseries, Kids",,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s437,"Docuseries, Kids",,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s438,"Biographical, Drama, Family",,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s439,"Animals & Nature, Kids, Variety",,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
d-s440,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s441,"Biographical, Documentary, Music",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s442,"Action-Adventure, Fantasy",,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s443,"Documentary, Family",,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
