show_id,title,recommended_animes
n-s3458,Seis Manos,"['Kamichu!', 'Fuujin Monogatari', 'Kaze no Youjinbou', 'Shin Getter Robo tai Neo Getter Robo', 'Mobile Suit Gundam SEED']"
n-s3459,Living Undocumented,"['Junjou Romantica', 'Minami-ke', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Mobile Suit Gundam']"
n-s3460,Ready to Mingle,"['Utawarerumono', 'School Rumble: Ichi Gakki Hoshuu', 'Witchblade', 'Sekai Meisaku Douwa: Hakuchou no Mizuumi', 'Konjiki no Gash Bell!!: 101 Banme no Mamono']"
n-s3461,Salam - The First ****** Nobel Laureate,"['Eikoku Koi Monogatari Emma: Molders-hen', 'Shigofumi', 'Taiho Shichau zo Special', 'Mashin Eiyuuden Wataru', 'Shadow Skill: Eigi']"
n-s3462,Cheese in the Trap,"['Taiho Shichau zo Special', 'Spiral: Suiri no Kizuna', 'Doraemon Movie 23: Nobita to Robot Kingdom', 'Dash! Kappei', 'Hana yori Dango']"
n-s3463,Chicago Typewriter,"['Muteki Kanban Musume', 'El Cazador de la Bruja', '11-nin Iru!', 'One Piece: Straw Hat Theater', 'Love Hina']"
n-s3464,College Romance,"['Ojamajo Doremi Sharp', 'SF Saiyuuki Starzinger', 'Gokujou Seitokai', 'Doraemon Movie 11: Nobita to Animal Planet', 'Doraemon Movie 23: Nobita to Robot Kingdom']"
n-s3465,Engineering Girls,"['Ojamajo Doremi Sharp', 'Doraemon Movie 11: Nobita to Animal Planet', 'Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi', 'Shuffle!', 'Sakigake!! Cromartie Koukou']"
n-s3466,First Kiss,"['Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Majin Tantei Nougami Neuro', 'Chicchana Yukitsukai Sugar Specials']"
n-s3467,Girls Hostel,"['Shuffle!', 'SF Saiyuuki Starzinger', 'Doraemon Movie 11: Nobita to Animal Planet', 'Ojamajo Doremi Sharp', 'Nanatsu no Umi no Tico']"
n-s3468,Inmates,"['School Rumble: Ichi Gakki Hoshuu', 'Tales of Symphonia The Animation: Sylvarant-hen', 'Lodoss-tou Senki', 'Fuyu no Semi', 'Musekinin Kanchou Tylor']"
n-s3469,Limitless,"['Doraemon Movie 23: Nobita to Robot Kingdom', ""Doraemon: Nobita's the Night Before a Wedding"", 'Shinreigari', 'One Piece: Jango no Dance Carnival', 'One Piece: Yume no Soccer Ou!']"
n-s3470,Little Baby Bum: Go Buster,"[""Doraemon: Nobita's the Night Before a Wedding"", 'Daisougen no Chiisana Tenshi: Bush Baby', 'Piano no Mori', 'Doraemon Movie 20: Nobita no Uchuu Hyouryuuki', 'Sousei no Aquarion']"
n-s3471,Miniforce X,"['RahXephon', 'Scrapped Princess', 'Doraemon Movie 07: Nobita to Tetsujin Heidan', 'Detective Conan Movie 02: The Fourteenth Target', 'Sakigake!! Otokojuku']"
n-s3472,Nikki Glaser: Bangin’,"['Kirarin☆Revolution', 'Arashi no Yoru ni', 'Evangelion: 3.0 You Can (Not) Redo', 'Virtua Fighter', 'Yokohama Kaidashi Kikou']"
n-s3473,Rugrats in Paris: The Movie,"['Riding Bean', 'Tottoko Hamtarou', 'Bubblegum Crisis', 'Top Secret: The Revelation', 'Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios']"
n-s3474,The K2,"['Lodoss-tou Senki', 'Usavich II', 'Mobile Fighter G Gundam', 'Slam Dunk (Movie)', 'Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin']"
n-s3475,The Liar and His Lover,"['City Hunter: Ai to Shukumei no Magnum', 'School Rumble: Ichi Gakki Hoshuu', 'Minami no Niji no Lucy', 'Heppoko Jikken Animation Excel♥Saga', 'Trinity Blood']"
n-s3476,The Rugrats Movie,"['Mobile Suit Gundam', 'Appleseed (Movie)', 'Bishoujo Senshi Sailor Moon S', 'Blood+', 'Rozen Maiden']"
n-s3477,The Squid and the Whale,"['Aria The Animation', 'Azumanga Daioh', 'School Rumble: Ichi Gakki Hoshuu', 'Kurogane no Linebarrels', 'Pokemon Advanced Generation']"
n-s3478,Gotham,"['Gaiking: Legend of Daiku-Maryu', 'Mobile Suit Gundam 0083: Stardust Memory', 'Hikaru no Go: New Year Special', 'Blue Gender', 'Tantei Gakuen Q']"
n-s3479,Mo Gilligan: Momentum,"['Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Hachimitsu to Clover', 'Ushiro no Shoumen Daare', 'Ikoku Irokoi Romantan']"
n-s3480,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,"['Digimon Savers', 'InuYasha (TV)', 'Darker than Black: Kuro no Keiyakusha', 'Ai no Wakakusa Monogatari', 'Kareshi Kanojo no Jijou']"
n-s3481,TUNA GIRL,"['Dash! Kappei', 'InuYasha Movie 3: Tenka Hadou no Ken', 'Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi', 'Aria The Animation', 'Haikara-san ga Tooru']"
n-s3482,Bard of Blood,"['Groove Adventure Rave', 'Bakumatsu Kikansetsu Irohanihoheto', 'Shoujo Kakumei Utena: Adolescence Mokushiroku', 'Usavich II', 'Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone']"
n-s3483,Deliha 2,"['Evangelion: 3.0 You Can (Not) Redo', 'Oruchuban Ebichu', 'Yu☆Gi☆Oh!', 'Stratos 4 Advance Kanketsu-hen', 'Karin']"
n-s3484,El Marginal,"['Ultra Maniac', 'GetBackers', 'Detective Conan Movie 10: Requiem of the Detectives', 'Boku no Chikyuu wo Mamotte', 'Usavich II']"
n-s3485,In the Shadow of the Moon,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Mobile Suit Gundam SEED Destiny', 'Ultra Maniac', 'Bleach: The Sealed Sword Frenzy', 'Nanatsu no Umi no Tico']"
n-s3486,Sturgill Simpson Presents Sound & Fury,"['Baccano!', 'One Piece Movie 1', 'Vampire Hunter D', 'Kakutou Bijin Wulong: Rebirth', 'Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi']"
n-s3487,Malaal,"['Shuffle!', 'Hayate no Gotoku!', 'Kishin Douji Zenki', 'Taiho Shichau zo Special', 'Ojamajo Doremi Sharp']"
n-s3488,The Grandmaster,"['Saiunkoku Monogatari 2nd Season', 'Saint Seiya: Meiou Hades Elysion-hen', 'Full Metal Panic! The Second Raid', 'Turn A Gundam', 'Yuusha-Ou GaoGaiGar Final']"
n-s3489,The Inmate,"['Mahou Shoujo Lyrical Nanoha', 'Doubutsu no Mori', 'Daicon Opening Animations', 'Tetsuwan Birdy', 'Kyou kara Maou! R']"
n-s3490,Abstract: The Art of Design,"['Fushigi no Umi no Nadia', 'Mahou Shoujo Lyrical Nanoha StrikerS', 'Doraemon Movie 07: Nobita to Tetsujin Heidan', 'Candy Candy', 'Tokyo Godfathers']"
n-s3491,Birders,"['Doraemon Movie 02: Nobita no Uchuu Kaitakushi', 'Daicon Opening Animations', 'Saber Marionette J to X', 'Shijou Saikyou no Deshi Kenichi', 'Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie']"
n-s3492,Glitch,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Lupin III: Part II', 'Galaxy Angel Music Collection: Shouen to Shien no Cassoulet', 'Bleach: The Sealed Sword Frenzy', 'Ai Yori Aoshi']"
n-s3493,Oh! Baby (Malayalam),"['Tenchi Muyou! Ryououki 3rd Season', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Aria The Animation', 'Mai-HiME', 'Kidou Senkan Nadesico']"
n-s3494,Oh! Baby (Tamil),"['Tenchi Muyou! Ryououki 3rd Season', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Aria The Animation', 'Mai-HiME', 'Kidou Senkan Nadesico']"
n-s3495,Inside Man: Most Wanted,"['Usavich II', 'Suzuka', 'Boku no Chikyuu wo Mamotte', 'Shoujo Kakumei Utena: Adolescence Mokushiroku', 'Kakutou Bijin Wulong: Rebirth']"
n-s3496,Jeff Dunham: Beside Himself,"['Futari wa Precure: Splash☆Star', 'Gokinjo Monogatari', 'Wakakusa Monogatari: Nan to Jo-sensei', 'Full Metal Panic! The Second Raid', 'Fushigiboshi no☆Futagohime Gyu!']"
n-s3497,Manmadhudu 2,"['Konjiki no Gash Bell!!: 101 Banme no Mamono', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Lupin III: Moeyo Zantetsuken!', 'Mobile Suit Gundam', 'Heppoko Jikken Animation Excel♥Saga']"
n-s3498,Under the Eiffel Tower,"['X', 'Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!', 'Lodoss-tou Senki', 'Irregular Hunter X: The Day of Sigma', 'Inukami!']"
n-s3499,Do Paise Ki Dhoop Chaar Aane Ki Baarish,"['Kiba', 'Jigoku Shoujo Mitsuganae', 'Pokemon Movie 04: Celebi Toki wo Koeta Deai', 'Shinreigari', 'Gokusen']"
n-s3500,Vagabond,"['Full Moon wo Sagashite', 'Seikai no Senki III', 'Gyakkyou Burai Kaiji: Ultimate Survivor', 'Suzuka', 'Major S4']"
n-s3501,Between Two Ferns: The Movie,"['Photon', 'Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki', 'Kimagure Orange☆Road OVA', 'Musekinin Kanchou Tylor', 'One Piece: Yume no Soccer Ou!']"
n-s3502,Criminal: France,"['Kyou kara Maou! R', 'D.Gray-man', 'Suzuka', 'Gyakkyou Burai Kaiji: Ultimate Survivor', 'Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki']"
n-s3503,Criminal: Germany,"['D.Gray-man', 'Kenran Butou Sai: The Mars Daybreak', 'Ultra Maniac', 'Legend of Basara', 'Ai Yori Aoshi']"
n-s3504,Criminal: Spain,"['D.Gray-man', 'Doraemon Movie 25: Nobita no Wan Nyan Jikuuden', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Tottemo! Luckyman', 'Seikai no Senki']"
n-s3505,Fastest Car,"['H2', 'Digimon Adventure', 'Dr. Slump: Arale-chan', 'Glass no Kamen (2005)', 'Takarajima']"
n-s3506,Inside Bill's Brain: Decoding Bill Gates,"['Mushrambo', 'Saiunkoku Monogatari 2nd Season', 'Vandread: The Second Stage', 'Lodoss-tou Senki: Eiyuu Kishi Den', 'Doraemon Movie 07: Nobita to Tetsujin Heidan']"
n-s3507,The Hockey Girls,"['Stop!! Hibari-kun!', 'Omoide Poroporo', 'Switch', 'Rockman.EXE Movie: Hikari to Yami no Program', 'Tenchi Muyou! Ryououki 2nd Season']"
n-s3508,Travel Mates 2,"['Galaxy Angel Music Collection: Shouen to Shien no Cassoulet', 'City Hunter: Ai to Shukumei no Magnum', 'Zone of the Enders: Dolores, I', 'Kyuuketsuhime Miyu (TV)', 'Cowboy Bebop']"
n-s3509,True: Tricky Treat Day,"['Bubblegum Crisis Tokyo 2040', 'Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou', 'Maria-sama ga Miteru 4th', 'Ranma ½', 'Lost Universe']"
n-s3510,Kabir Singh,"['Genshiken', 'Ikoku Irokoi Romantan', 'Mushrambo', 'Nanatsu no Umi no Tico', 'Lupin III: Episode 0 ""First Contact""']"
n-s3511,When the Camellia Blooms,"['Pokemon Advanced Generation', 'JoJo no Kimyou na Bouken: Adventure', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Nanatsu no Umi no Tico', 'Gokusen']"
n-s3512,Avengement,"['Mononoke', 'Gaiking: Legend of Daiku-Maryu', 'Mobile Suit Gundam 0083: Stardust Memory', 'Blue Gender', 'Chou Mashin Eiyuuden Wataru']"
n-s3513,Sebastian Maniscalco: What's Wrong with People?,"['Hachimitsu to Clover', 'Yawara! Special: Zutto Kimi no Koto ga... .', 'Hokuto no Ken: Raoh Gaiden Gekitou-hen', 'Moonlight Mile 2nd Season: Touch Down', ""Bakusou Kyoudai Let's & Go WGP""]"
n-s3514,Los Tigres del Norte at Folsom Prison,"['Bakuten Shoot Beyblade G Revolution', 'Utawarerumono OVA', 'Code Geass: Hangyaku no Lelouch', 'Ginga Tetsudou Monogatari', 'Doubutsu no Mori']"
n-s3515,Steal a Pencil for Me,"['Jigoku Sensei Nube OVA', 'Seikai no Senki', 'Doraemon Movie 10: Nobita no Nippon Tanjou', 'Doraemon Movie 13: Nobita to Kumo no Oukoku', 'Code Geass: Hangyaku no Lelouch Recaps']"
n-s3516,Surviving R. Kelly,"['Minky Momo in Yume ni Kakeru Hashi', 'Shinreigari', 'Doraemon Meets Hattori the Ninja', 'Kanojo to Kanojo no Neko', 'Mobile Suit Gundam SEED Destiny']"
n-s3517,Oh! Baby,"['Tenchi Muyou! Ryououki 3rd Season', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Aria The Animation', 'Mai-HiME', 'Kidou Senkan Nadesico']"
n-s3518,The Crystal Calls Making the Dark Crystal: Age of Resistance,"['Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen', 'Lodoss-tou Senki: Eiyuu Kishi Den', 'Ueki no Housoku', 'Tottoko Hamtarou', 'Kino no Tabi: The Beautiful World - Byouki no Kuni - For You']"
n-s3519,"Hello, Privilege. It's Me, Chelsea","['The Third: Aoi Hitomi no Shoujo', 'Shinreigari', 'Elf wo Karu Mono-tachi', 'Medarot', 'Busou Renkin']"
n-s3520,Kabaneri of the Iron Fortress: The Battle of Unato,"['One Piece', 'Ryuusei no Rockman', 'Love Hina', 'Devilman: Yochou Sirene-hen', 'Baccano!']"
n-s3521,Locked on You,"['Ginga Tetsudou no Yoru', 'Future GPX Cyber Formula Zero', 'Nasu: Andalusia no Natsu', 'Yakushiji Ryouko no Kaiki Jikenbo', 'Turn A Gundam']"
n-s3522,Marianne,"['Fuujin Monogatari', 'One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura', ""B'T X Neo"", 'Aria The Animation', 'Lupin III: Nusumareta Lupin']"
n-s3523,Shanghai Fortress,"['PopoloCrois', 'Gake no Ue no Ponyo', 'Lodoss-tou Senki', 'Yuusha-Ou GaoGaiGar', 'Bokura no']"
n-s3524,Tall Girl,"['Kyoushoku Soukou Guyver II', 'Heppoko Jikken Animation Excel♥Saga', 'Tokimeki Memorial: Only Love', 'Maria-sama ga Miteru 3rd Specials', 'Azumanga Daioh']"
n-s3525,Top Boy,"['Lodoss-tou Senki', 'Mobile Suit Gundam 0083: Stardust Memory', 'Detective Conan Movie 10: Requiem of the Detectives', 'Boku no Chikyuu wo Mamotte', 'Lupin III: Episode 0 ""First Contact""']"
n-s3526,Unbelievable,"['Ultra Maniac', 'Kenran Butou Sai: The Mars Daybreak', 'Ai Yori Aoshi', 'Mobile Suit Gundam SEED Destiny', 'Akazukin Chacha OVA']"
n-s3527,The I-Land,"['Shin Getter Robo tai Neo Getter Robo', 'Mugen no Ryvius', 'Flanders no Inu (Movie)', 'Nasu: Andalusia no Natsu', 'Ike! Ina-chuu Takkyuubu']"
n-s3528,"The Mind, Explained","['Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!', 'Gedo Senki', 'Genshiken', ""Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation"", 'Dokidoki♡Densetsu: Mahoujin Guruguru']"
n-s3529,Bill Burr: Paper Tiger,"['Doraemon Movie 17: Nobita to Ginga Express', 'Shinreigari', 'Busou Renkin', 'Lupin III: Part III', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori']"
n-s3530,Evelyn,"['Lupin III: Part II', 'Doraemon Movie 25: Nobita no Wan Nyan Jikuuden', 'Bleach: The Sealed Sword Frenzy', 'Robot Carnival', 'Ai Yori Aoshi']"
n-s3531,Article 15,"['Legend of Basara', 'Chicchana Yukitsukai Sugar Specials', 'Shinreigari', 'Akazukin Chacha OVA', 'Planetes']"
n-s3532,Care of Kancharapalem,"['Hanbun no Tsuki ga Noboru Sora', 'Musekinin Kanchou Tylor', 'Pokemon Movie 04: Celebi Toki wo Koeta Deai', 'Heppoko Jikken Animation Excel♥Saga', 'Azumanga Daioh']"
n-s3533,Ee Nagaraniki Emaindi,"['Doraemon Movie 23: Nobita to Robot Kingdom', 'Utawarerumono Specials', 'Doraemon Movie 12: Nobita no Dorabian Nights', 'Sousei no Aquarion', 'Doraemon Movie 13: Nobita to Kumo no Oukoku']"
n-s3534,Kill Me If You Dare,"['Kure-nai', 'Simoun', 'School Rumble: Ichi Gakki Hoshuu', 'Lodoss-tou Senki', 'Aria The Animation']"
n-s3535,The Spy,"['After War Gundam X', 'Serial Experiments Lain', 'Mononoke', 'Shin Chou Kyou Ryo: Condor Hero II', 'Transformers the Movie']"
n-s3536,American Factory: A Conversation with the Obamas,"['Serial Experiments Lain', 'Code Geass: Hangyaku no Lelouch Recaps', 'ef: A Tale of Memories.', 'Mahou Senshi Louie', 'Jigoku Sensei Nube OVA']"
n-s3537,Saawan,"['Giant Gorg', 'Shippuu! Iron Leaguer', 'Elf wo Karu Mono-tachi', 'Hello! Sandybell', 'Shin Captain Tsubasa']"
n-s3538,Watchman,"['Tenkuu no Shiro Laputa', 'Iria: Zeiram The Animation', 'Claymore', 'Ginga Eiyuu Densetsu Gaiden', 'Detective Conan Movie 10: Requiem of the Detectives']"
n-s3539,Elena,"['Mobile Suit Gundam SEED C.E.73: Stargazer', 'Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai', 'Honoo no Toukyuuji: Dodge Danpei', 'Tenchi Muyou! Ryououki 3rd Season', 'Aa! Megami-sama! (TV)']"
n-s3540,Loo Loo Kids: Johny & Friends Musical Adventures,"['Masuda Kousuke Gekijou Gag Manga Biyori', 'Detective Conan OVA 03: Conan and Heiji and the Vanished Boy', 'Tenchi Muyou! in Love', 'Bakuten Shoot Beyblade G Revolution', 'Futari wa Precure: Splash☆Star']"
n-s3541,Moving Art,"['Mahou Shoujo Lyrical Nanoha StrikerS', 'Gunslinger Girl: Il Teatrino', 'Seikai no Senki', 'Hanada Shounen-shi', 'Stratos 4 Advance Kanketsu-hen']"
n-s3542,Naruto,"['Future GPX Cyber Formula 11', 'Hokuto no Ken: Yuria-den', 'Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu', 'Shounen Onmyouji']"
n-s3543,Olmo & the Seagull,"['Pokemon Advanced Generation', 'Hachimitsu to Clover Specials', 'Aria The Animation', 'Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!', 'Ryuusei no Rockman Tribe']"
n-s3544,Serial Killer with Piers Morgan,"['Ultra Maniac', 'Aishiteruze Baby★★', 'Doubutsu no Mori', 'Mobile Suit Gundam SEED Destiny', 'D.Gray-man']"
n-s3545,Spookley the Square Pumpkin,"['Gake no Ue no Ponyo', 'Kikou Souseiki Mospeada', 'Oseam', 'Eikoku Koi Monogatari Emma', 'Yu☆Gi☆Oh! (Movie)']"
n-s3546,Uncle Naji in UAE,"['Andersen Douwa: Ningyohime', 'Nasu: Andalusia no Natsu', 'Daicon Opening Animations', 'Junkers Come Here', 'Ranma ½ OVA']"
n-s3547,Luo Bao Bei,"['Mermaid Melody Pichi Pichi Pitch', 'Hajime no Ippo: Champion Road', ""B'T X Neo"", 'Sola Specials', 'Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!']"
n-s3548,Back to School,"['SF Saiyuuki Starzinger', 'Tales of Symphonia The Animation: Sylvarant-hen', 'Ojamajo Doremi Sharp', 'Doraemon Movie 11: Nobita to Animal Planet', 'Stop!! Hibari-kun!']"
n-s3549,Feo pero sabroso,"['JoJo no Kimyou na Bouken: Adventure', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Utawarerumono', 'Mobile Suit Gundam']"
n-s3550,Mi amigo Alexis,"['Giant Gorg', 'Gokujou Seitokai', 'Kurogane no Linebarrels', 'School Rumble: Ichi Gakki Hoshuu', 'Hanbun no Tsuki ga Noboru Sora']"
n-s3551,Styling Hollywood,"['Utawarerumono Specials', 'Lupin III: Kutabare! Nostradamus', 'Mazinkaiser', 'Hunter x Hunter: Greed Island', 'Hellsing Ultimate']"
n-s3552,The Dark Crystal: Age of Resistance,"['Digimon Tamers: Boukensha-tachi no Tatakai', 'Shin Getter Robo tai Neo Getter Robo', 'Gake no Ue no Ponyo', 'Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!', 'Eve no Jikan']"
n-s3553,The Good Bandit,"['Lupin III: Lupin Ansatsu Shirei', 'Inukami!', 'Taiho Shichau zo Special', 'Hello! Sandybell', 'Shin Getter Robo tai Neo Getter Robo']"
n-s3554,True and the Rainbow Kingdom,"['Bishoujo Senshi Sailor Moon SuperS Specials', 'Sola Specials', 'Bubblegum Crisis', 'Kaze no Stigma', 'Macross Plus']"
n-s3555,Unbridled,"['Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Usavich II', 'Chicchana Yukitsukai Sugar Specials', 'X']"
n-s3556,Falling Inn Love,"['Evangelion: 3.0 You Can (Not) Redo', 'Zero no Tsukaima: Princesses no Rondo', 'Flag', 'Ranma ½ OVA', 'Negima!? Haru Special!?']"
n-s3557,Kardec,"['City Hunter 2', 'Paprika', 'Chirin no Suzu', 'One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi', 'Lupin III: Nusumareta Lupin']"
n-s3558,Travis Scott: Look Mom I Can Fly,"['Mobile Suit Gundam 00', 'Mushrambo', 'Minami-ke Okawari', 'Pumpkin Scissors', 'Area 88']"
n-s3559,Million Pound Menu,"['Lupin III: Kutabare! Nostradamus', 'School Rumble Ni Gakki', 'Stratos 4 Advance Kanketsu-hen', 'Hunter x Hunter', 'Gunslinger Girl']"
n-s3560,Dave Chappelle: Sticks & Stones,"['Planetes', 'Code Geass: Hangyaku no Lelouch Recaps', 'Doraemon Movie 17: Nobita to Ginga Express', 'Wangan Midnight', 'Ginga Tetsudou Monogatari']"
n-s3561,Drink Drank Drunk,"['Lupin III: Nusumareta Lupin', 'Simoun', 'Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!', 'Doraemon Movie 02: Nobita no Uchuu Kaitakushi', 'Aishiteruze Baby★★']"
n-s3562,13 Reasons Why: Beyond the Reasons,"['Minky Momo in Yume ni Kakeru Hashi', 'Muteki Choujin Zanbot 3', 'Shinreigari', 'Doraemon Movie 23: Nobita to Robot Kingdom', 'Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!']"
n-s3563,HERO MASK,"['Lupin III: Part III', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Seikai no Senki III', 'Kanojo to Kanojo no Neko', 'Kenran Butou Sai: The Mars Daybreak']"
n-s3564,Kaake Da Viyah,"['Lodoss-tou Senki', 'JoJo no Kimyou na Bouken: Adventure', 'Pokemon Movie 04: Celebi Toki wo Koeta Deai', 'Pokemon Advanced Generation', 'Kure-nai']"
n-s3565,Marriage Palace,"['Konjiki no Gash Bell!!: 101 Banme no Mamono', 'Kure-nai', 'Aria The Animation', 'JoJo no Kimyou na Bouken: Adventure', 'Gungrave']"
n-s3566,Mayday Life,"['Little Nemo', 'Mobile Suit Gundam 00', 'Scrapped Princess', 'Seihou Bukyou Outlaw Star', 'Bakuten Shoot Beyblade G Revolution']"
n-s3567,Saavat,"['Lupin III: Part II', 'Bleach: The Sealed Sword Frenzy', 'Ai Yori Aoshi', 'Dragon Ball', 'Karin']"
n-s3568,American Factory,"['Gedo Senki', 'Doraemon Movie 10: Nobita no Nippon Tanjou', 'Ojamajo Doremi Sharp Movie', 'Doraemon Movie 13: Nobita to Kumo no Oukoku', 'Space Adventure Cobra']"
n-s3569,Game Over (Hindi Version),"['Aishiteruze Baby★★', 'Nanatsu no Umi no Tico', 'Bleach: The Sealed Sword Frenzy', 'Dokidoki♡Densetsu: Mahoujin Guruguru', 'Yu☆Gi☆Oh!: Duel Monsters GX']"
n-s3570,Game Over (Tamil Version),"['Aishiteruze Baby★★', 'Nanatsu no Umi no Tico', 'Bleach: The Sealed Sword Frenzy', 'Dokidoki♡Densetsu: Mahoujin Guruguru', 'Yu☆Gi☆Oh!: Duel Monsters GX']"
n-s3571,Game Over (Telugu Version),"['Dokidoki♡Densetsu: Mahoujin Guruguru', 'Aishiteruze Baby★★', 'Ai Yori Aoshi', 'Figure 17: Tsubasa & Hikaru', 'Nanatsu no Umi no Tico']"
n-s3572,Hyperdrive,"['Digimon Adventure', 'Dr. Slump: Arale-chan', 'Fantastic Children', 'H2', 'Photon']"
n-s3573,The Girl Allergic to Wi-Fi,"['Doraemon Meets Hattori the Ninja', 'Detective Conan Movie 11: Jolly Roger in the Deep Azure', 'Jungle wa Itsumo Hare nochi Guu Final', 'Detroit Metal City', 'Hachimitsu to Clover Specials']"
n-s3574,Our Planet - Behind The Scenes,"['Doraemon Movie 03: Nobita no Daimakyou', 'Code Geass: Hangyaku no Lelouch Recaps', 'Seikai no Senki', 'Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen', 'Strike Witches']"
n-s3575,Simon Amstell: Set Free,"['El Hazard: The Wanderers', 'Bubblegum Crisis', 'City Hunter: Ai to Shukumei no Magnum', 'Galaxy Angel 3 Specials', 'School Rumble: Ichi Gakki Hoshuu']"
n-s3576,45 rpm,"['Mobile Suit Gundam 00', 'Fushigiboshi no☆Futagohime Gyu!', 'Ichigo Mashimaro', 'Lucky☆Star', 'Ginga Nagareboshi Gin']"
n-s3577,Apache: The Life of Carlos Tevez,"['Kyoushoku Soukou Guyver (2005)', 'Giant Gorg', 'Lupin III: Lupin vs. Fukusei-ningen', 'Blue Gender', 'Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!']"
n-s3578,Better Than Us,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Slam Dunk (Movie)', 'Top Secret: The Revelation', 'Riding Bean', 'YAT Anshin! Uchuu Ryokou 2']"
n-s3579,Diagnosis,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Strawberry Panic', 'Nodame Cantabile', 'Code Geass: Hangyaku no Lelouch Recaps', 'Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi']"
n-s3580,Green Frontier,"['Soukyuu no Fafner: Dead Aggressor', 'Kino no Tabi: The Beautiful World - Tou no Kuni', 'Memories', 'Bubblegum Crisis', 'Yu☆Gi☆Oh! Duel Monsters']"
n-s3581,Invader Zim: Enter the Florpus,"['Fullmetal Alchemist: The Conqueror of Shamballa', 'Kiddy Grade: Ignition', 'Full Moon wo Sagashite', 'Kiddy Grade: Maelstrom', ""Sketchbook: Full Color's""]"
n-s3582,MINDHUNTER,"['Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'Aishiteruze Baby★★', 'Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki', 'D.Gray-man', 'Usavich II']"
n-s3583,Selfless,"['Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!', 'Rockman.EXE Beast', 'Versailles no Bara', 'Hello! Sandybell', 'Ikoku Irokoi Romantan']"
n-s3584,Sextuplets,"['Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!', 'Mobile Suit Gundam', 'D.C.II S.S.: Da Capo II Second Season', 'Kiba', 'Aria The Origination']"
